# Freq(THz)	Branch_1	Branch_2	Branch_3	Total
0.0000	0.018378	0.007808	0.000001	0.026187
0.0035	0.019914	0.008405	0.000002	0.028322
0.0070	0.021529	0.009026	0.000002	0.030558
0.0105	0.023220	0.009672	0.000003	0.032896
0.0140	0.024989	0.010342	0.000004	0.035335
0.0175	0.026833	0.011037	0.000005	0.037875
0.0210	0.028752	0.011756	0.000006	0.040515
0.0245	0.030745	0.012500	0.000008	0.043253
0.0280	0.032810	0.013268	0.000010	0.046088
0.0315	0.034946	0.014061	0.000012	0.049019
0.0350	0.037151	0.014878	0.000015	0.052044
0.0385	0.039422	0.015720	0.000018	0.055160
0.0420	0.041757	0.016587	0.000023	0.058366
0.0455	0.044153	0.017479	0.000027	0.061659
0.0490	0.046608	0.018394	0.000033	0.065036
0.0525	0.049119	0.019334	0.000040	0.068493
0.0560	0.051682	0.020297	0.000049	0.072027
0.0595	0.054294	0.021283	0.000058	0.075634
0.0630	0.056951	0.022290	0.000069	0.079310
0.0665	0.059649	0.023318	0.000082	0.083050
0.0700	0.062385	0.024366	0.000097	0.086848
0.0735	0.065154	0.025431	0.000114	0.090699
0.0770	0.067951	0.026512	0.000133	0.094597
0.0805	0.070772	0.027608	0.000155	0.098535
0.0840	0.073612	0.028716	0.000180	0.102507
0.0875	0.076464	0.029834	0.000208	0.106506
0.0910	0.079325	0.030960	0.000238	0.110523
0.0945	0.082188	0.032091	0.000273	0.114552
0.0980	0.085048	0.033226	0.000310	0.118584
0.1016	0.087899	0.034362	0.000351	0.122612
0.1051	0.090734	0.035498	0.000396	0.126628
0.1086	0.093550	0.036630	0.000444	0.130624
0.1121	0.096339	0.037757	0.000496	0.134592
0.1156	0.099097	0.038877	0.000552	0.138526
0.1191	0.101818	0.039989	0.000611	0.142419
0.1226	0.104499	0.041091	0.000673	0.146263
0.1261	0.107134	0.042182	0.000738	0.150054
0.1296	0.109721	0.043261	0.000805	0.153787
0.1331	0.112255	0.044326	0.000875	0.157457
0.1366	0.114737	0.045378	0.000947	0.161061
0.1401	0.117163	0.046414	0.001019	0.164597
0.1436	0.119534	0.047436	0.001093	0.168063
0.1471	0.121850	0.048443	0.001166	0.171459
0.1506	0.124113	0.049434	0.001238	0.174786
0.1541	0.126325	0.050410	0.001310	0.178044
0.1576	0.128489	0.051370	0.001379	0.181237
0.1611	0.130608	0.052314	0.001445	0.184367
0.1646	0.132689	0.053244	0.001507	0.187440
0.1681	0.134735	0.054159	0.001565	0.190459
0.1716	0.136753	0.055060	0.001618	0.193431
0.1751	0.138750	0.055946	0.001666	0.196362
0.1786	0.140731	0.056820	0.001707	0.199259
0.1821	0.142704	0.057682	0.001742	0.202128
0.1856	0.144675	0.058532	0.001770	0.204977
0.1891	0.146650	0.059372	0.001790	0.207813
0.1926	0.148637	0.060203	0.001803	0.210644
0.1961	0.150641	0.061027	0.001809	0.213476
0.1996	0.152668	0.061844	0.001807	0.216318
0.2031	0.154722	0.062657	0.001798	0.219176
0.2066	0.156808	0.063467	0.001782	0.222057
0.2101	0.158931	0.064275	0.001759	0.224965
0.2136	0.161092	0.065085	0.001731	0.227908
0.2171	0.163294	0.065897	0.001698	0.230889
0.2206	0.165540	0.066713	0.001660	0.233912
0.2241	0.167829	0.067535	0.001619	0.236983
0.2276	0.170163	0.068364	0.001575	0.240102
0.2311	0.172541	0.069202	0.001530	0.243273
0.2346	0.174962	0.070050	0.001485	0.246497
0.2381	0.177426	0.070908	0.001441	0.249774
0.2416	0.179929	0.071778	0.001398	0.253105
0.2451	0.182470	0.072659	0.001359	0.256487
0.2486	0.185045	0.073551	0.001324	0.259921
0.2521	0.187652	0.074455	0.001295	0.263402
0.2556	0.190287	0.075369	0.001273	0.266929
