# celldm(Bohr)   a(Ang)       V(Ang^3)     Etot(Ry)
6.00   3.17506200   16.00392969   -117.92143496
6.05   3.20152085   16.40737135   -117.92574229
6.10   3.22797970   16.81753688   -117.92899490
6.15   3.25443855   17.23448185   -117.93125460
6.20   3.28089740   17.65826182   -117.93258139
6.25   3.30735625   18.08893240   -117.93303344
6.30   3.33381510   18.52654912   -117.93266572
6.35   3.36027395   18.97116754   -117.93153094
6.40   3.38673280   19.42284326   -117.92967901
6.45   3.41319165   19.88163184   -117.92715786
6.50   3.43965050   20.34758886   -117.92401194
